route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30268,WEEKDAY,127_0_WD_1,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_2,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_3,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_4,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_5,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_6,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_7,SHP_30268_0,R102,0
30268,WEEKDAY,127_0_WD_8,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_1,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_2,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_3,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_4,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_5,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_6,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_7,SHP_30268_0,R102,0
30268,WEEKEND,127_0_WE_8,SHP_30268_0,R102,0
30268,WEEKDAY,127_1_WD_1,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_2,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_3,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_4,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_5,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_6,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_7,SHP_30268_1,R102,1
30268,WEEKDAY,127_1_WD_8,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_1,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_2,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_3,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_4,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_5,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_6,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_7,SHP_30268_1,R102,1
30268,WEEKEND,127_1_WE_8,SHP_30268_1,R102,1
30270,WEEKDAY,124_0_WD_1,SHP_30270_0,R15,0
30270,WEEKDAY,124_0_WD_2,SHP_30270_0,R15,0
30270,WEEKDAY,124_0_WD_3,SHP_30270_0,R15,0
30270,WEEKDAY,124_0_WD_4,SHP_30270_0,R15,0
30270,WEEKDAY,124_0_WD_5,SHP_30270_0,R15,0
30270,WEEKDAY,124_0_WD_6,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_1,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_2,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_3,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_4,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_5,SHP_30270_0,R15,0
30270,WEEKEND,124_0_WE_6,SHP_30270_0,R15,0
30270,WEEKDAY,124_1_WD_1,SHP_30270_1,R15,1
30270,WEEKDAY,124_1_WD_2,SHP_30270_1,R15,1
30270,WEEKDAY,124_1_WD_3,SHP_30270_1,R15,1
30270,WEEKDAY,124_1_WD_4,SHP_30270_1,R15,1
