route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,fare_rule
30270,2BD0BC24-B135-4699-B92DDDF114F2F35E,R15,ALOR SETAR - UUM SINTOK VIA JITRA,3,FF0000,000000,V
30271,2BD0BC24-B135-4699-B92DDDF114F2F35E,R14,KANGAR - ALOR SETAR VIA JITRA,3,FF0000,000000,V
30272,2BD0BC24-B135-4699-B92DDDF114F2F35E,R13,KANGAR - ALOR SETAR VIA KUALA SANGLANG,3,FF0000,000000,V
30273,2BD0BC24-B135-4699-B92DDDF114F2F35E,R12,KANGAR - KUALA PERLIS,3,FF0000,000000,V
30274,2BD0BC24-B135-4699-B92DDDF114F2F35E,R11,KANGAR - PADANG BESAR,3,FF0000,000000,V
30275,2BD0BC24-B135-4699-B92DDDF114F2F35E,R10,KANGAR - CHANGLUN,3,FF0000,000000,V
30381,2BD0BC24-B135-4699-B92DDDF114F2F35E,R105,TERMINAL PADANG BESAR-KAKI BUKIT-TERMINAL PADANG BESAR,3,FF0000,000000,V
30380,2BD0BC24-B135-4699-B92DDDF114F2F35E,R104,TERMINAL BUKIT LAGI - FELDA CHUPING,3,FF0000,000000,V
30268,2BD0BC24-B135-4699-B92DDDF114F2F35E,R102,KANGAR - KILANG GULA,3,FF0000,000000,V
