route_id,service_id,trip_id,shape_id,direction_id
N57,Bas.my,R1705004_T32,R1705004,1
N57,Bas.my,R1705004_T33,R1705004,1
N57,Bas.my,R1705004_T34,R1705004,1
N57,Bas.my,R1705004_T35,R1705004,1
N57,Bas.my,R1705004_T36,R1705004,1
N57,Bas.my,R1705004_T37,R1705004,1
N57,Bas.my,R1705004_T38,R1705004,1
N57,Bas.my,R1705004_T39,R1705004,1
N57,Bas.my,R1705004_T40,R1705004,1
N57,Bas.my,R1705004_T41,R1705004,1
N57,Bas.my,R1705004_T42,R1705004,1
N57,Bas.my,R1705004_T43,R1705004,1
N57,Bas.my,R1705004_T44,R1705004,1
N57,Bas.my,R1705004_T45,R1705004,1
N57,Bas.my,R1705004_T46,R1705004,1
N57,Bas.my,R1705004_T47,R1705004,1
N57,Bas.my,R1705004_T48,R1705004,1
N57,Bas.my,R1705004_T49,R1705004,1
N57,Bas.my,R1705004_T50,R1705004,1
N57,Bas.my,R1705004_T51,R1705004,1
N57,Bas.my,R1705004_T52,R1705004,1
N57,Bas.my,R1705004_T53,R1705004,1
N57,Bas.my,R1705004_T54,R1705004,1
N50,Bas.my,R1705007_T1,R1705007,0
N50,Bas.my,R1705007_T2,R1705007,0
N50,Bas.my,R1705007_T3,R1705007,0
N50,Bas.my,R1705007_T4,R1705007,0
N50,Bas.my,R1705007_T5,R1705007,0
N50,Bas.my,R1705007_T6,R1705007,0
N50,Bas.my,R1705007_T7,R1705007,0
N50,Bas.my,R1705007_T8,R1705007,0
N50,Bas.my,R1705007_T9,R1705007,0
N50,Bas.my,R1705007_T10,R1705007,0
N50,Bas.my,R1705007_T11,R1705007,0
N50,Bas.my,R1705007_T12,R1705007,0
N50,Bas.my,R1705007_T13,R1705007,0
N50,Bas.my,R1705007_T14,R1705007,0
N50,Bas.my,R1705007_T15,R1705007,0
N50,Bas.my,R1705007_T16,R1705007,0
N50,Bas.my,R1705007_T17,R1705007,0
N50,Bas.my,R1705007_T18,R1705007,0
N50,Bas.my,R1705007_T19,R1705007,0
N50,Bas.my,R1705007_T20,R1705007,0
N50,Bas.my,R1705007_T21,R1705007,0
N50,Bas.my,R1705007_T22,R1705007,0
N50,Bas.my,R1705008_T1,R1705008,1
N50,Bas.my,R1705008_T2,R1705008,1
N50,Bas.my,R1705008_T3,R1705008,1
N50,Bas.my,R1705008_T4,R1705008,1
N50,Bas.my,R1705008_T5,R1705008,1
N50,Bas.my,R1705008_T6,R1705008,1
N50,Bas.my,R1705008_T7,R1705008,1
N50,Bas.my,R1705008_T8,R1705008,1
N50,Bas.my,R1705008_T9,R1705008,1
N50,Bas.my,R1705008_T10,R1705008,1
N50,Bas.my,R1705008_T11,R1705008,1
N50,Bas.my,R1705008_T12,R1705008,1
N50,Bas.my,R1705008_T13,R1705008,1
N50,Bas.my,R1705008_T14,R1705008,1
N50,Bas.my,R1705008_T15,R1705008,1
N50,Bas.my,R1705008_T16,R1705008,1
N50,Bas.my,R1705008_T17,R1705008,1
N50,Bas.my,R1705008_T18,R1705008,1
N50,Bas.my,R1705008_T19,R1705008,1
N50,Bas.my,R1705008_T20,R1705008,1
N50,Bas.my,R1705008_T21,R1705008,1
N50,Bas.my,R1705008_T22,R1705008,1
N51,Bas.my,R1705009_T1,R1705009,0
N51,Bas.my,R1705009_T2,R1705009,0
N51,Bas.my,R1705009_T4,R1705009,0
N51,Bas.my,R1705009_T5,R1705009,0
N51,Bas.my,R1705009_T6,R1705009,0
N51,Bas.my,R1705009_T8,R1705009,0
N51,Bas.my,R1705009_T9,R1705009,0
N51,Bas.my,R1705009_T10,R1705009,0
N51,Bas.my,R1705009_T12,R1705009,0
N51,Bas.my,R1705009_T13,R1705009,0
N51,Bas.my,R1705009_T14,R1705009,0
N51,Bas.my,R1705009_T16,R1705009,0
N51,Bas.my,R1705009_T17,R1705009,0
N51,Bas.my,R1705009_T18,R1705009,0
N51,Bas.my,R1705009_T20,R1705009,0
N51,Bas.my,R1705009_T21,R1705009,0
N51,Bas.my,R1705009_T22,R1705009,0
N51,Bas.my,R1705009_T24,R1705009,0
N51,Bas.my,R1705009_T25,R1705009,0
N51,Bas.my,R1705009_T26,R1705009,0
N51,Bas.my,R1705009_T28,R1705009,0
N51,Bas.my,R1705009_T29,R1705009,0
N51,Bas.my,R1705009_T30,R1705009,0
N51,Bas.my,R1705009_T32,R1705009,0
N51,Bas.my,R1705009_T33,R1705009,0
N51,Bas.my,R1705009_T34,R1705009,0
N51,Bas.my,R1705009_T36,R1705009,0
N51,Bas.my,R1705009_T37,R1705009,0
N51,Bas.my,R1705009_T38,R1705009,0
N51,Bas.my,R1705009_T40,R1705009,0
N51,Bas.my,R1705009_T41,R1705009,0
N51,Bas.my,R1705009_T42,R1705009,0
N51,Bas.my,R1705010_T1,R1705010,1
N51,Bas.my,R1705010_T2,R1705010,1
N51,Bas.my,R1705010_T4,R1705010,1
N51,Bas.my,R1705010_T5,R1705010,1
N51,Bas.my,R1705010_T6,R1705010,1
N51,Bas.my,R1705010_T8,R1705010,1
N51,Bas.my,R1705010_T9,R1705010,1
N51,Bas.my,R1705010_T10,R1705010,1
N51,Bas.my,R1705010_T12,R1705010,1
N51,Bas.my,R1705010_T13,R1705010,1
N51,Bas.my,R1705010_T14,R1705010,1
N51,Bas.my,R1705010_T16,R1705010,1
N51,Bas.my,R1705010_T17,R1705010,1
N51,Bas.my,R1705010_T18,R1705010,1
N51,Bas.my,R1705010_T20,R1705010,1
N51,Bas.my,R1705010_T21,R1705010,1
N51,Bas.my,R1705010_T22,R1705010,1
N51,Bas.my,R1705010_T24,R1705010,1
N51,Bas.my,R1705010_T25,R1705010,1
N51,Bas.my,R1705010_T26,R1705010,1
N51,Bas.my,R1705010_T28,R1705010,1
N51,Bas.my,R1705010_T29,R1705010,1
N51,Bas.my,R1705010_T30,R1705010,1
N51,Bas.my,R1705010_T32,R1705010,1
N51,Bas.my,R1705010_T33,R1705010,1
N51,Bas.my,R1705010_T34,R1705010,1
N51,Bas.my,R1705010_T36,R1705010,1
N51,Bas.my,R1705010_T37,R1705010,1
N51,Bas.my,R1705010_T38,R1705010,1
N51,Bas.my,R1705010_T40,R1705010,1
N51,Bas.my,R1705010_T41,R1705010,1
N51,Bas.my,R1705010_T42,R1705010,1
N505,Bas.my,R1705012_T1,R1705012,0
N505,Bas.my,R1705012_T2,R1705012,0
N505,Bas.my,R1705012_T3,R1705012,0
N505,Bas.my,R1705012_T4,R1705012,0
N505,Bas.my,R1705012_T5,R1705012,0
N505,Bas.my,R1705012_T6,R1705012,0
N505,Bas.my,R1705012_T7,R1705012,0
N505,Bas.my,R1705012_T8,R1705012,0
N505,Bas.my,R1705012_T9,R1705012,0
N505,Bas.my,R1705012_T10,R1705012,0
N505,Bas.my,R1705012_T11,R1705012,0
N505,Bas.my,R1705012_T12,R1705012,0
N508,Bas.my,R1705013_T1,R1705013,0
N508,Bas.my,R1705013_T2,R1705013,0
N508,Bas.my,R1705013_T3,R1705013,0
N508,Bas.my,R1705013_T4,R1705013,0
N508,Bas.my,R1705013_T5,R1705013,0
N508,Bas.my,R1705013_T6,R1705013,0
N508,Bas.my,R1705013_T7,R1705013,0
N508,Bas.my,R1705013_T8,R1705013,0
N508,Bas.my,R1705013_T9,R1705013,0
N508,Bas.my,R1705013_T10,R1705013,0
N508,Bas.my,R1705013_T11,R1705013,0
N508,Bas.my,R1705013_T12,R1705013,0
N513,Bas.my,R1705014_T1,R1705014,0
N513,Bas.my,R1705014_T2,R1705014,0
N513,Bas.my,R1705014_T3,R1705014,0
N513,Bas.my,R1705014_T4,R1705014,0
N513,Bas.my,R1705014_T5,R1705014,0
N513,Bas.my,R1705014_T6,R1705014,0
N513,Bas.my,R1705014_T7,R1705014,0
N513,Bas.my,R1705014_T8,R1705014,0
N513,Bas.my,R1705014_T9,R1705014,0
N513,Bas.my,R1705014_T10,R1705014,0
N513,Bas.my,R1705014_T11,R1705014,0
N52,Bas.my,R1705016_T1,R1705016,0
N52,Bas.my,R1705016_T2,R1705016,0
N52,Bas.my,R1705016_T3,R1705016,0
N52,Bas.my,R1705016_T4,R1705016,0
N52,Bas.my,R1705016_T5,R1705016,0
N52,Bas.my,R1705016_T6,R1705016,0
N52,Bas.my,R1705016_T7,R1705016,0
N52,Bas.my,R1705016_T8,R1705016,0
N52,Bas.my,R1705016_T9,R1705016,0
N52,Bas.my,R1705016_T10,R1705016,0
N52,Bas.my,R1705016_T11,R1705016,0
N52,Bas.my,R1705016_T12,R1705016,0
N52,Bas.my,R1705016_T13,R1705016,0
N52,Bas.my,R1705016_T14,R1705016,0
N52,Bas.my,R1705016_T15,R1705016,0
N52,Bas.my,R1705016_T16,R1705016,0
N52,Bas.my,R1705017_T1,R1705017,1
N52,Bas.my,R1705017_T2,R1705017,1
