stop_id,stop_name,stop_lat,stop_lon,zone
3534,COSMOPOINT,5.329586,103.138019,
3535,KKIA JALAN AIR JERNIH,5.328148,103.1351875,
3537,SMKJC CHONG HWA WEI SENG,5.317975,103.133569,
3541,JPJ KUALA TERENGGANU,5.3140692,103.1323981,
3543,KLINIK DESA PULAU DUYONG,5.3295278,103.1230934,
3546,KAMPUNG BUKIT TUMBUH,5.3395008,103.1160265,
3548,BANGGOL PAUH,5.295514,103.117458,
3550,KAMPUNG BUKIT TOK BENG,5.3534679,103.1169144,
3553,SRK BUKIT TOK BENG,5.3554666,103.1183607,
3556,SMK IBRAHIM FIKRI,5.3584663,103.1190498,
3651,TAMAN SAMUDERA,5.3615326,103.1175974,
3652,KAMPUNG DUYUNG,5.3654868,103.1144091,
3653,RESTORAN SRI AMAN SEAFOOD,5.3681716,103.1127663,
3668,KLINIK KESIHATAN SEBERANG TAKIR,5.3713272,103.1105309,
3673,KEM ASKAR SEBERANG TAKIR,5.3741523,103.1086617,
3759,LAPANGAN TERBANG SULTAN MAHMUD,5.376847,103.106686,
3760,HOTEL TABUNG HAJI,5.372377,103.1015977,
3761,KOMPLEKS SUKAN NEGERI TERENGGANU,5.3699967,103.0987887,
3762,SEKOLAH SUKAN MALAYSIA TERENGGANU,5.3682912,103.0968086,
3763,SABASUN 2,5.3599226,103.098331,
3764,KOLEJ VOKASIONAL WAKAF TEMBESU,5.358457,103.093736,
3765,TAMAN SRI TEMUSU,5.3585975,103.093592,
3766,SM SAINS SULTAN MAHMUD,5.3609059,103.0921858,
3767,SMK TEKNIK KUALA TERENGGANU,5.3620959,103.0915932,
3768,PETRONAS WAKAF BARU,5.3650767,103.0896957,
3769,TAMAN SRI JAYA,5.3679921,103.08775,
3770,TAMAN SETIA JAYA,5.3715408,103.0854283,
3959,KAMPUNG BARU GONG BADAK,5.3757963,103.0841237,
3961,EMPORIUM HOCK KEE SENG BARU,5.336367,103.142744,
3962,PERODUA GONG BADAK,5.383787,103.0810702,
3963,BALAI POLIS GONG BADAK,5.3875148,103.0803835,
3965,TAMAN PERUMAHAN GONG BADAK 2,5.3916165,103.0810487,
3966,TAMAN PERUMAHAN GONG BADAK 1,5.3936459,103.0817568,
3967,UNISZA PINTU A,5.3958188,103.0832662,
3968,MASJID UNISZA / McDonalds,5.3979649,103.0845056,
3969,KLINIK PAKAR UNISZA,5.3994675,103.0845678,
3971,KUARTERS POLIS GONG BADAK,5.4050866,103.086274,
3972,BULATAN KAMPUNG PAK TUYU,5.4083077,103.0845153,
3975,UNISZA PINTU B,5.409111,103.081594,
3976,KAMPUNG GONG DATUK,5.409608,103.07935,
3977,KAMPUNG GONG PAK JIN,5.4099865,103.077354,
3978,KAMPUNG PADANG NENAS,5.4127349,103.0685383,
3979,MASJID PADANG NENAS,5.414397,103.06653,
3980,BALAI POLIS MENGABANG TELIPOT,5.415949,103.065411,
3981,MRSM KUALA TERENGGANU / IPG BATU RAKIT,5.420218,103.062045,
3982,SK KOMPLEKS MENGABANG TELIPOT,5.4244691,103.0598691,
3983,KLINIK KESIHATAN BATU RAKIT,5.425862,103.058722,
3984,TAMAN PERUMAHAN WAKAF TENGAH,5.4295183,103.0561542,
3985,KAMPUNG MENGABANG TELONG 1,5.432419,103.05467,
3986,KAMPUNG MENGABANG TELONG 2,5.4361025,103.0526757,
3987,KAMPUNG TANJUNG BATU RAKIT,5.439148,103.051077,
3988,TAMAN NIRWANA,5.439974,103.050634,
3989,TAMAN DESA KAYANGAN,5.4443735,103.0482584,
3990,KAMPUNG BATU RAKIT,5.446629,103.0466827,
3991,SK BATU RAKIT,5.4482691,103.0456496,
3992,HUB BATU RAKIT,5.4493384,103.0450309,
3993,BALAI POLIS BATU RAKIT,5.4513033,103.0404911,
3994,KLINIK DESA PANTAI KUALA NERUS,5.4520998,103.0394762,
3995,KAMPUNG PENGKALAN ATAP 1,5.4533445,103.0385959,
3996,SURAU PENGKALAN ATAP,5.4548669,103.0370704,
