route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30194,WEEKEND,112_0_WE_1,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_2,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_3,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_4,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_5,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_6,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_7,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_8,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_9,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_10,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_11,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_12,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_13,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_14,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_15,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_16,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_17,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_18,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_19,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_20,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_21,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_22,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_23,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_24,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_25,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_26,SHP_30194_0,T100,0
30194,WEEKEND,112_0_WE_27,SHP_30194_0,T100,0
30260,WEEKEND,113_0_WE_1,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_2,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_3,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_4,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_5,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_6,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_7,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_8,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_9,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_10,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_11,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_12,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_13,SHP_30260_0,T10,0
30260,WEEKEND,113_0_WE_14,SHP_30260_0,T10,0
30260,WEEKEND,113_1_WE_1,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_2,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_3,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_4,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_5,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_6,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_7,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_8,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_9,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_10,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_11,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_12,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_13,SHP_30260_1,T10,1
30260,WEEKEND,113_1_WE_14,SHP_30260_1,T10,1
30261,WEEKEND,114_0_WE_1,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_2,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_3,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_4,SHP_30261_0,T20,0
