stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
KGBC2_KGBC2,KGBC2,KG BARU BLOCK C2,2.72142902,101.96231961,
KGBC2_KGBC2R,KGBC2R,KG BARU BLOCK C2,2.72142902,101.96231961,
KVAMPGAN_KVAMPGAN,KVAMPGAN,KOLEJ VOKASIONAL AMPANGAN,2.72426359,101.97061837,
KVAMPGAN_KVAMPGANR,KVAMPGANR,KOLEJ VOKASIONAL AMPANGAN,2.72426359,101.97061836,
SMKSA_SMKSA,SMKSA,SMK SERI AMPANGAN,2.72571571,101.96985126,
SMKSA_SMKSAR,SMKSAR,SMK SERI AMPANGAN,2.72571571,101.96985125,
STADPRI_STADPRI,STADPRI,STADIUM PAROI,2.72469162,101.98134420,
STADPRI_STADPRIR,STADPRIR,STADIUM PAROI,2.72495550,101.98130350,
STADPRI_SP,SP,STADIUM PAROI,2.72495550,101.98130350,
SKYTH_SKYTH,SKYTH,SK YAM TUAN HITAM,2.74366604,102.13778973,
SKYTH_SKYTHR,SKYTHR,SK YAM TUAN HITAM,2.74366604,102.13778972,
KGPT_KGPT,KGPT,KAMPUNG PAUH TERACHI,2.74482343,102.13974237,
KGPT_KGPTR,KGPTR,KAMPUNG PAUH TERACHI,2.74482343,102.13974237,
PBSM_PBSM,PBSM,PERKAMPUNGAN BUDAYA SERI MENANTI,2.74437560,102.14888440,
PBSM_PBSMR,PBSMR,PERKAMPUNGAN BUDAYA SERI MENANTI,2.74437560,102.14888440,
MJDKGI_MJDKGI,MJDKGI,MASJID KAMPUNG IBOL,2.74402505,102.15875924,
MJDKGI_MJDKGIR,MJDKGIR,MASJID KAMPUNG IBOL,2.74402505,102.15875923,
KGG2_KGG2,KGG2,KAMPUNG GEMENTIR 2,2.74260710,102.16879920,
KGG2_KGG2R,KGG2R,KAMPUNG GEMENTIR 2,2.74260710,102.16879920,
KGULUG_KGULUG,KGULUG,KAMPUNG ULU GEMENTIR,2.74207999,102.17541575,
KGULUG_KGULUGR,KGULUGR,KAMPUNG ULU GEMENTIR,2.74207999,102.17541575,
SMKDAS_SMKDAS,SMKDAS,SMK DATO ABDUL SAMAD,2.74256224,102.17967510,
SMKDAS_SMKDASR,SMKDASR,SMK DATO ABDUL SAMAD,2.74256224,102.17967510,
PPTI_PPTI,PPTI,PEJABAT POS TANJUNG IPOH,2.74120659,102.18422413,
PPTI_PPTIR,PPTIR,PEJABAT POS TANJUNG IPOH,2.74120659,102.18422412,
SJKCCHTGIP_SJKCCHTGIP,SJKCCHTGIP,SJKC CHUNG HUA TANJUNG IPOH,2.74052073,102.18802214,
SJKCCHTGIP_SJKCCHTGIPR,SJKCCHTGIPR,SJKC CHUNG HUA TANJUNG IPOH,2.74052073,102.18802213,
KGUTGIPH1_KGUTGIPH1,KGUTGIPH1,KAMPUNG UJONG TANJUNG IPOH 1,2.73948123,102.19596684,
KGUTGIPH1_KGUTGIPH1R,KGUTGIPH1R,KAMPUNG UJONG TANJUNG IPOH 1,2.73948123,102.19596683,
